"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"18",18,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Simeto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","22",2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,c(15.0906, 37.373)
"19",19,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Simeto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","04","26",2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,c(15.0906, 37.373)
"20",20,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Simeto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","07",2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,c(15.0906, 37.373)
"21",21,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Simeto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","05","04",2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,c(15.0906, 37.373)
"22",22,"Surfrider Foundation Europe","1 Parco del Conero, 60020 Sirolo, Italie","IT","Mediterranean Sea",81,NA,NA,"Cleanup","2015","04","19",NA,200,NA,NA,50,50,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,20,200,NA,NA,10,70,40,70,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,100,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,50,NA,NA,NA,15,NA,NA,NA,NA,3,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,c(13.6169999997125, 43.532599999938)
"23",23,"Legambiente Onlus","Spiaggia dellOncino, Torre Annunziata (NA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","05","07",3,4,NA,NA,20,20,20,10,NA,NA,NA,NA,NA,NA,NA,5,1,20,30,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,5,3,NA,NA,NA,NA,2,NA,NA,c(14.4349000004328, 40.7538700000525)
"24",24,"OceanCare Cleanups","Vendicari_Lühmann","IT","Mediterranean Sea",42,NA,NA,"Cleanup","2018","04","10",0,1,7,NA,3,16,5,0,0,1,0,0,0,1,NA,1,0,11,0,2,0,0,0,3,1,0,2,0,0,4,0,1,NA,0,0,NA,0,0,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,1,NA,NA,NA,NA,29,3,7,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,6,NA,0,NA,NA,NA,0,NA,0,0,0,1,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,0,3,0,NA,NA,0,0,0,0,NA,0,2,0,0,NA,0,NA,NA,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,2,4,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,c(15.1064286803368, 36.8377265992257)
"25",25,"CpjJwWHV","pineto","IT","Mediterranean Sea",179,NA,NA,"Cleanup","2016","05","05",NA,1,0,NA,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,c(14.0668959221885, 42.6120596992663)
"26",26,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Parco Naturale S. Bartolo di Pesaro","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","06","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.78907, 43.9651)
"27",27,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Parco Naturale S. Bartolo di Pesaro","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","10","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.78907, 43.9651)
"28",28,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Parco Naturale S. Bartolo di Pesaro","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.78907, 43.9651)
"29",29,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Parco Naturale S. Bartolo di Pesaro","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.78907, 43.9651)
"30",30,"Legambiente Onlus","Spiaggia della Brussa (Valle Vecchia), Caorle (VE)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","23",NA,2,5,NA,5,9,4,2,3,6,NA,1,NA,NA,NA,NA,1,6,8,NA,2,NA,NA,35,NA,NA,8,NA,NA,2,4,NA,NA,2,NA,NA,NA,NA,NA,17,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,2,4,NA,NA,NA,NA,18,NA,43,3,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,c(12.9395299999615, 45.6181099998918)
"31",31,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Tarquinia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","03",7,10,10,10,7,7,2,7,2,2,2,2,2,2,17,2,NA,7,7,7,7,17,2,5,1,1,7,7,NA,7,7,7,NA,NA,NA,NA,NA,NA,17,NA,NA,17,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,17,1,17,NA,NA,NA,17,17,5,5,NA,17,17,17,17,17,2,17,1,NA,186,1,5,1,2,4,NA,1,17,1,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,14,NA,1,1,1,1,NA,NA,c(11.69628, 42.23404)
"32",32,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Tarquinia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","18",7,10,10,10,7,7,2,7,2,2,2,2,2,2,17,2,NA,7,7,7,7,17,2,5,1,1,7,7,NA,7,7,7,NA,NA,NA,NA,NA,NA,17,NA,NA,17,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,17,1,17,NA,NA,NA,17,17,5,5,NA,17,17,17,17,17,2,17,1,NA,186,1,5,1,2,4,NA,1,17,1,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,14,NA,1,1,1,1,NA,NA,c(11.69628, 42.23404)
"33",33,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Tarquinia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","27",7,10,10,10,7,7,2,7,2,2,2,2,2,2,17,2,NA,7,7,7,7,17,2,5,1,1,7,7,NA,7,7,7,NA,NA,NA,NA,NA,NA,17,NA,NA,17,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,17,1,17,NA,NA,NA,17,17,5,5,NA,17,17,17,17,17,2,17,1,NA,186,1,5,1,2,4,NA,1,17,1,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,14,NA,1,1,1,1,NA,NA,c(11.69628, 42.23404)
"34",34,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Tarquinia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","06",7,10,10,10,7,7,2,7,2,2,2,2,2,2,17,2,NA,7,7,7,7,17,2,5,1,1,7,7,NA,7,7,7,NA,NA,NA,NA,NA,NA,17,NA,NA,17,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,17,1,17,NA,NA,NA,17,17,5,5,NA,17,17,17,17,17,2,17,1,NA,186,1,5,1,2,4,NA,1,17,1,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,14,NA,1,1,1,1,NA,NA,c(11.69628, 42.23404)
"35",35,"Legambiente Onlus","Spiaggia della Riserva Naturale Costa di Licola, Pozzuoli (NA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","26",10,5,NA,NA,20,30,25,NA,5,10,17,NA,18,5,NA,NA,15,20,NA,NA,NA,20,10,40,NA,NA,NA,30,10,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,10,NA,5,NA,NA,NA,NA,NA,NA,NA,5,20,NA,7,NA,NA,10,17,NA,6,15,NA,NA,NA,NA,20,NA,NA,NA,NA,50,12,NA,NA,3,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,2,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,24,5,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,10,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,c(14.0468899997384, 40.851529999898)
"36",36,"Legambiente Onlus","Spiaggia libera foce Tusciano, Battipaglia (SA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","05","05",30,81,36,49,302,433,43,28,19,59,12,16,34,12,13,21,17,254,66,55,25,24,33,111,2,3,26,4,19,174,94,4,2,NA,26,7,NA,NA,1,NA,NA,1,15,4,NA,NA,18,5,16,11,55,2,1,1,3,NA,NA,6,64,NA,6,74,NA,60,NA,NA,294,185,40,37,NA,2,NA,32,2,17,19,NA,6,NA,2,4,14,5,17,28,2,6,73,5,9,12,64,NA,5,8,NA,1,25,42,58,1,NA,4,23,11,NA,16,10,1,1,4,5,13,3,NA,32,9,45,4,2,6,NA,12,2,NA,NA,6,2,26,119,20,5,36,3,5,NA,1,1,8,2,19,1,12,7,8,1,1,20,8,62,NA,2,1,6,NA,NA,NA,13,31,10,NA,c(14.8849500001497, 40.5772999999983)
"37",37,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Bosco Isola Lesina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","03",28,28,3,3,3,28,28,12,28,12,12,1,1,1,7,6,7,2,28,28,28,28,6,8,NA,10,5,28,28,3,28,28,28,3,3,NA,NA,117,117,6,117,117,6,3,3,3,3,3,3,3,1,3,3,2,2,2,7,5,3,3,3,6,5,6,3,NA,NA,6,6,9,9,3,6,6,6,6,6,7,6,3,5,158,NA,NA,NA,7,5,NA,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,NA,1,NA,NA,NA,NA,NA,c(15.38882, 41.90058)
"38",38,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Bosco Isola Lesina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2019","01","14",28,28,3,3,3,28,28,12,28,12,12,1,1,1,7,6,7,2,28,28,28,28,6,8,NA,10,5,28,28,3,28,28,28,3,3,NA,NA,117,117,6,117,117,6,3,3,3,3,3,3,3,1,3,3,2,2,2,7,5,3,3,3,6,5,6,3,NA,NA,6,6,9,9,3,6,6,6,6,6,7,6,3,5,158,NA,NA,NA,7,5,NA,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,NA,1,NA,NA,NA,NA,NA,c(15.38882, 41.90058)
"39",39,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Bosco Isola Lesina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","10",28,28,3,3,3,28,28,12,28,12,12,1,1,1,7,6,7,2,28,28,28,28,6,8,NA,10,5,28,28,3,28,28,28,3,3,NA,NA,117,117,6,117,117,6,3,3,3,3,3,3,3,1,3,3,2,2,2,7,5,3,3,3,6,5,6,3,NA,NA,6,6,9,9,3,6,6,6,6,6,7,6,3,5,158,NA,NA,NA,7,5,NA,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,NA,1,NA,NA,NA,NA,NA,c(15.38882, 41.90058)
"40",40,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Bosco Isola Lesina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","04","10",28,28,3,3,3,28,28,12,28,12,12,1,1,1,7,6,7,2,28,28,28,28,6,8,NA,10,5,28,28,3,28,28,28,3,3,NA,NA,117,117,6,117,117,6,3,3,3,3,3,3,3,1,3,3,2,2,2,7,5,3,3,3,6,5,6,3,NA,NA,6,6,9,9,3,6,6,6,6,6,7,6,3,5,158,NA,NA,NA,7,5,NA,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,NA,1,NA,NA,NA,NA,NA,c(15.38882, 41.90058)
"41",41,"Legambiente Onlus","Spiaggia La Speranza, Alghero (SS)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","25",NA,NA,NA,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,10,35,4,NA,NA,9,3,NA,2,NA,NA,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,8,NA,NA,235,1,24,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,26,1,NA,NA,NA,1,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,9,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,c(8.36698000020208, 40.4962699999634)
"42",42,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Senigallia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","16",2,3,3,3,2,2,1,2,1,1,NA,NA,NA,1,1,1,NA,2,2,2,2,1,NA,5,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,3,3,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,2,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.22622, 43.71541)
"43",43,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Senigallia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","23",2,3,3,3,2,2,1,2,1,1,NA,NA,NA,1,1,1,NA,2,2,2,2,1,NA,5,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,3,3,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,2,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.22622, 43.71541)
